date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
31/03/2020,7754,1726,23389,4329,150379,14124,9423,1619,73817,26888,4168,3298,30669,9472,4160,4436,7064,11197,2583,16702,20743,23776,14073,2763,10385,1669,2858,11771,2947,22003,3655,87684,16435,598,28406,5974,16149,33558,2190,10888,741,17938,67270,4688,1354,22164,16651,3109,11152,812,871601
01/04/2020,132,65,495,85,3855,193,130,24,864,361,136,87,479,126,46,50,73,187,47,168,232,313,271,33,130,22,51,288,39,269,58,1299,185,10,298,68,366,496,13,143,7,184,1132,72,8,315,396,64,136,9,14510
02/04/2020,1464,449,3121,724,21335,1811,1649,206,11735,4347,794,618,4445,1646,722,687,1036,1712,668,2561,3342,3717,2519,378,1365,241,423,1886,558,3675,552,13862,2413,95,3986,837,2367,5674,300,1387,113,2406,10218,650,199,3815,2106,525,1479,62,132880
03/04/2020,1395,324,3916,709,24497,2422,1490,249,12453,4437,746,535,4961,1451,733,787,1129,1862,446,2772,3505,3756,2374,400,1799,282,543,2033,493,3569,645,14580,2723,123,4366,1045,2594,5615,373,1739,152,2728,11646,741,173,3539,2607,563,1737,127,143884
04/04/2020,1282,260,3674,716,22919,2046,1338,235,11509,4111,629,485,4510,1343,633,694,1039,1749,390,2299,2964,3681,2114,379,1540,230,384,1781,453,3434,618,13385,2481,96,3983,928,2600,5115,260,1501,143,2555,10610,647,145,3358,2533,500,1670,98,132047
06/04/2020,2422,525,7232,1395,46086,4286,2694,402,23448,8042,1178,973,9170,2811,1391,1420,2080,3549,882,4930,6373,7047,4391,809,3180,506,984,3639,793,6461,1118,27937,5129,212,7872,1802,4689,9796,654,2948,258,5046,20811,1341,359,6592,4631,1013,3662,195,265164
07/04/2020,1383,346,4076,836,27118,2503,1537,262,12356,4733,636,495,5443,1572,739,817,1193,1944,446,2893,3795,4214,2415,454,1870,292,513,2044,537,3856,663,15382,2773,94,4787,1101,2901,5830,385,1807,161,2982,11703,757,219,3830,2701,597,2152,110,152253
08/04/2020,3168,680,8100,1776,52497,5292,3716,562,28148,10706,1429,1244,11165,3508,1551,1678,2350,4247,1066,6585,8220,8629,5473,1044,3836,575,1034,4105,1289,8356,1480,34120,6411,247,9826,1959,5587,12639,760,3862,447,6399,24283,1470,447,8405,5557,1262,4066,268,321524
09/04/2020,1702,407,4828,948,31667,2972,1927,286,15024,5619,765,623,6397,1831,842,1034,1288,2549,550,3595,4389,4983,2900,521,2169,311,630,2582,596,4443,751,18481,3379,161,5431,1120,3105,6685,445,2088,181,3419,14523,879,189,4346,3048,584,2220,162,179575
10/04/2020,3031,790,7812,1917,55650,5109,3872,632,29176,10502,1571,1223,11456,3621,1706,1630,2492,4165,1050,6905,8582,8985,5407,939,3635,545,1101,4222,1366,8616,1548,34767,6162,222,10718,2119,5433,13130,850,3666,378,5942,25612,1508,445,8600,5573,1223,4256,260,330120
